Title,YouTube Link,brief_desc,Built With,By,Location,cluster
Game Changer,https://www.youtube.com/watch?v=7o2LJk1leqQ,"The application creates new folds of a game scenario, alleviating the gaming experience by offering varied gameplay experiences.","Web/Chrome, Firebase",Balsnub,Türkiye,0
Ganesha,https://www.youtube.com/watch?v=hkXoGSjGy2Y,"The application tracks users' stress levels, discomfort with situations, and provides daily advice based on regular sound processing. It also offers instant advice via voice message or text-based messages for urgent requests.",Flutter,The Codest,Türkiye,0
Garden Guru,https://www.youtube.com/watch?v=H-Nnce-a0D0,"The application uses the Google Gemini API to analyze environmental factors such as soil type, climate, and regional characteristics to recommend optimal plant choices for users based on their location and soil conditions.","Flutter, Android, Firebase",Yasar&Apo,Türkiye,1
GemiNews 1,https://www.youtube.com/watch?v=EronjF12fos,"The app aggregates news from various sources, summarizes them using AI-powered chat feature, and enables users to discuss these summaries in a conversational environment.","Flutter, Web/Chrome, Firebase",TEDIUM,Türkiye,0
Gemini Eyes,https://www.youtube.com/watch?v=kssh9rwmWdg,The application uses two distinct APIs: Gemini API for image-to-text translation and text-to-text translation using local language.,"Flutter, Firebase",Gasay,Türkiye,1
Gemini Math Teacher,https://www.youtube.com/watch?v=mdpdzW_x6C4,"The application is a Python Flask project that performs mathematics operations using a specific model, with voice narration as an upcoming feature.",Web/Chrome,,Türkiye,0
Hablo Talk,https://www.youtube.com/watch?v=cw7GxNL_S7c,"The application allows users to engage in conversations with an AI assistant, which explains chat messages, suggests topics for chatting, and provides country information. It also offers vocabulary learning through quizzing and pronunciation improvement through listening exercises.","Flutter, Firebase",Caroby,Türkiye,0
Handyman Apprentice,https://www.youtube.com/watch?v=6VdWgIHDjsQ,"The application is a helpful chatbot that assists with daily chores, providing assistance in processing tasks. It extracts and summarizes core functionality to provide users with a clear understanding of its capabilities.","Web/Chrome, Cloud Run, Mesop",met0,Türkiye,0
InvoiX,https://www.youtube.com/watch?v=nI_AbAhA75A,"The application is an artificial intelligence-supported invoice reading tool that automates various tasks, including categorization, analysis, and summarization of invoices based on their content. It uses machine learning algorithms to read text from invoices using camera or image input, and provides a monthly summary table for financial transactions.","Flutter, Firebase",SC-Riber,Türkiye,0
Karen-S17,https://www.youtube.com/watch?v=NmYBm0D_c68,"The application is a highly advanced AI-powered tool that provides seamless access to various computer tasks, allowing users to perform any task on their computer with immediate execution through AI capabilities.",Firebase,anas moussa,Türkiye,0
LOCAI,https://www.youtube.com/watch?v=6Mwvpk5kvWk,"The main use case of this application is to provide a lightweight localization solution for game engines using the Gemini API, allowing developers to add localized text with minimal workload.",Firebase,BAKI,Türkiye,1
moodai,https://www.youtube.com/watch?v=pMlDmr5zwOs,"The application uses voice input to understand users' emotions and provide personalized entertainment suggestions, such as a curated playlist of songs and movie trailers that match their current mood.",Flutter,rokon,Türkiye,0
Movify,https://www.youtube.com/watch?v=2X8k-N8D5lU,"The application uses AI to recommend movies, answer user questions about whether to watch a movie, and facilitate finding a movie buddy through its features.","Flutter, Android, Firebase",Etugen,Türkiye,0
Nicless,https://www.youtube.com/watch?v=Im-yVnvEgfs,"The application helps users quit smoking by tracking nicotine intake, monitoring habits, and providing personalized support through a chat bot, email feature, and environmental awareness features such as maps.","Flutter, Firebase, Google Cloud (Maps, Storage)",Nicless,Türkiye,0
NurtureAI,https://www.youtube.com/watch?v=c-n7jfjxdGY,"The application allows parents to create custom stories for their children, generate personalized content based on child's age, theme, and specifications, and receive AI-powered guidance through a chatbot feature.","Flutter, Firebase, VertexAI",,Türkiye,0
Panda Buddy,https://www.youtube.com/watch?v=kQwh0Srk6sQ,"The application uses AI-powered learning to provide personalized education, offering interactive quizzes, a Pomodoro timer, and customized study materials tailored to individual needs. It also provides smart note-taking suggestions and integrates with various technologies for a seamless user experience.","Firebase, Youtube API",The Super Developers,Türkiye,0
PathFinder,https://www.youtube.com/watch?v=ICmvhZFhJgU,"The application guides users through their career journey by creating personalized learning roadmaps using Gemini's API, providing a mental wellness feature to support positive mental states, and offering job application tools powered by the Gemini API.",Flutter,PathFinder,Türkiye,1
PicPaz,https://www.youtube.com/watch?v=z7WkHMYUL_Q,"The application allows users to upload an image of food, identify it using AI, and access detailed information and recipes, with features such as saving favorite recipes and user authentication.","Flutter, Android, Firebase",akbar rasirahimi,Türkiye,0
Pursuits,https://www.youtube.com/watch?v=Ha5qZPvW2OA,"The application provides a daily facts app that allows users to explore and learn about various subjects through interactive learning experiences, earning badges and unlocking new content as they progress. It uses AI technology to generate brief, engaging facts and cover images, and provides detailed information by wormhole button.","Flutter, Android, Firebase, AdMob",Batuhan Özcan,Türkiye,0
Quanta,https://www.youtube.com/watch?v=WEScSxgPEOA,"The application uses AI to provide personalized support through custom-built chatbots, leveraging pre-trained Gemini models for text-to-speech and speech-to-text capabilities.","Android, Firebase",Datanito,Türkiye,1
Quickly Interview with REA,https://www.youtube.com/watch?v=ytBqHj3TLzU,"The application allows users to quickly practice for job interviews from anywhere with internet access, using a combination of Python, HTML, and CSS for its development. It utilizes Gemini API for generating questions across various industries.",Web/Chrome,REATECH,Türkiye,1
Sanitas,https://www.youtube.com/watch?v=CcF-fOJzIhI,"The application provides health-related information and assistance, including prompts specially prepared for a conversational AI like Gemini, with features such as instant health diagnosis using the camera.","Flutter, Android",Furkan Yıldız (Aksi Lab),Türkiye,1
Search In Videos With Gemini Ai,https://www.youtube.com/watch?v=7PFN1Ta-fls,"The application uses AI to search for keywords by timestamp, providing exact occurrences of the keyword in a given time frame.",Web/Chrome,,Türkiye,0
SharpFront.AI,https://www.youtube.com/watch?v=8_bLp2sVYMQ,"The application enables non-programmer webmasters to design webpages by providing a user-friendly interface with UI elements and descriptive input, allowing users to create webpages without coding knowledge.",Web/Chrome,Osmanlı Sucuğu,Türkiye,0
Smart Shopping,https://www.youtube.com/watch?v=AkeHEtbXlNc,"The application uses the Gemini API to transform user input into targeted product queries, which are then retrieved from a brand's service and delivered to the chatbot for personalized responses.",Web/Chrome,Seri,Türkiye,1
SnaPlanner,https://www.youtube.com/watch?v=_54QpW-EKoA,"The application uses AI-driven task management, categorization, and cloud storage to simplify personal and professional organization. It extracts relevant information from user photos using the Gemini API, allowing for efficient creation of records and automatic categorization.","Flutter, Android, Firebase",SysArticles - Ali YAZICI,Türkiye,1
Spiroot,https://www.youtube.com/watch?v=c71-QCUw8gI,"The application provides various services including palmistry, facial horoscopes, tarot readings, coffee horoscopes, and chat with an AI-powered fortune teller, offering insights into personality, destiny, and daily life.",Flutter,Apptoic Mobile,Türkiye,0
Super Quiz App,https://www.youtube.com/watch?v=IpkkOxQvTAQ,"The application allows users to participate in a knowledge competition by practicing alone, matching with random players, or playing with friends, using artificial intelligence-powered questions created instantly based on their language.","Flutter, Firebase",,Türkiye,0
Therapy AI,https://www.youtube.com/watch?v=aFP42zwJ2_8,"The application utilizes a chatbot integrated with Gemini API, allowing for simple user interaction and a basic level of artificial intelligence. It leverages Firebase as its backend system to manage user data.","Flutter, Firebase",Therapy AI,Türkiye,1
ToDoFuture,https://www.youtube.com/watch?v=VDimjkaWcQU,"The application uses AI to generate personalized daily plans, provide real-time assistance, and offer health and productivity tips based on user tasks and routines.",Flutter,Synerthink,Türkiye,0
W-Health,https://www.youtube.com/watch?v=OidsP3P75EQ,"The application provides essential healthcare information and services through a user-friendly platform, utilizing features such as AI-powered health assistance, a community forum, and location-based doctor-finding tools.","Flutter, Android, Firebase, Google Maps",Mithat Can Timurcan - Alperen Ovak - Şevval Şahin,Türkiye,0
Wise Owl,https://www.youtube.com/watch?v=c8N1lOYc5dQ,"The application allows users to complete tasks related to raising awareness about critical global problems, with a photo serving as proof of completion.","Flutter, Android",,Türkiye,0
ZikZak,https://www.youtube.com/watch?v=bvvlYjxkekM,"The application allows users to compare prices from multiple websites by sharing product information, using vectorized metadata from various sources and a database called Milvus for similarity search.","Flutter, Firebase",ZikZak,Türkiye,0
Afya+,https://www.youtube.com/watch?v=BwX3gO-yUIU,"The application guides users to maintain a well and healthy life by planning activities, tracking progress, and suggesting personalized health-related tasks based on user input.","Flutter, Firebase",Christian Lurhakwa,Uganda,0
Black Leaf Streak Diagnostic (BLSD) App,https://www.youtube.com/watch?v=5yjkKFd9iYU,"The app uses AI to detect black sigatoka (black leaf streak disease) through a picture taken by the phone camera or an image of an infected leaf, and provides recommendations based on severity using the Gemini API for follow-up questions.","Flutter, Firebase",BLSD,Uganda,1
campass-app,https://www.youtube.com/watch?v=qhhV7iHnOXU,The application is a generative AI tour guide that uses Firebase and Gemini to suggest suitable locations based on user prompts and images.,"Web/Chrome, Firebase",Alex Gimei,Uganda,1
careerwise ai,https://www.youtube.com/watch?v=FEKXV55dgG8,"The application provides personalized career guidance by processing user input, suggesting careers based on their interests, skills, and values, and offering tailored lessons to help them learn and understand their chosen career path.","Web/Chrome, Firebase",Theogene Junior,Uganda,0
Ecolens 1,https://www.youtube.com/watch?v=QNMf7TYB6hg,"The application uses AI to analyze images and provide actionable recommendations for making the environment greener and more sustainable, offering tailored advice for various eco-friendly activities.",Flutter,"Nakibinge Simon, Patrick Kangave",Uganda,0
EduGen,https://www.youtube.com/watch?v=_4GTA-KLUxk,"The application uses advanced AI algorithms to generate personalized learning paths, interactive content, and real-time feedback for students, adapting to their individual learning style and pace. It leverages the Gemini API for natural language processing features and AI-driven tutoring capabilities.","Web/Chrome, React and Tailwind",Next_Generation_Student,Uganda,1
MoodMind,https://www.youtube.com/watch?v=vYwS1ThBzNE,"The system uses OpenCV for video capture, DeepFace for emotion analysis, and the Gemini API to generate personalized recommendations based on detected emotions. It displays real-time video feed with overlay text containing user data and generated recommendations.","Flutter, Web/Chrome, Firebase",BeezGroup,Uganda,1
MotherEarth,https://www.youtube.com/watch?v=fbPBCLlktWQ,"The application provides tailored insights to farmers, city authorities, and disaster preparedness teams by analyzing weather data and generating actionable recommendations based on location-specific information.",Web/Chrome,Aaron & Adam,Uganda,0
Muhumuza AI,https://www.youtube.com/watch?v=E771KgGqCMs,"The application provides personalized mental well-being support through empathetic digital companions that engage users in meaningful conversations, offering tailored guidance and advice based on individual interactions.","Web/Chrome, Firebase",Muhumuza AI,Uganda,0
Ninx,https://www.youtube.com/watch?v=s7CuvWrL3RI,"The application extracts information from medical documents, including images, using Gemini's vision capabilities to generate detailed non-medical information about diseases and treatments. This information is then presented back to users for further research or consultation with a doctor.","Web/Chrome, Google analytics.",Ninxai,Uganda,1
NoteCast,https://www.youtube.com/watch?v=vKYpnoZ818E,"The application enables users to upload and interact with lecture notes, including multimedia content, and receives context-aware responses based on uploaded content using AI technology.","Web/Chrome, Firebase",The Council,Uganda,0
Pipe Insight,https://www.youtube.com/watch?v=ky1QDzeuIqg,"The application monitors pipeline operations in real-time, detecting anomalies such as leaks, pressure drops, and flow rate fluctuations using machine learning models embedded within a mobile app. It provides instant notifications to users about detected issues, enabling prompt corrective actions.","Flutter, Web/Chrome, Firebase",Ssenkima Ashiraf,Uganda,0
RAGConstruction.ipynb,https://www.youtube.com/watch?v=buEiHnOPhso,"The application utilizes Google's API to provide safe access to building methods, focusing on enhancing accessibility for users.",,Humble Construction,Uganda,0
Rivizinga,https://www.youtube.com/watch?v=KNMcdvqIOx0,"The application is an AI-powered revision platform that helps students in Africa, particularly those studying Science and Math, create custom study plans tailored to their grade and curriculum. It uses dynamic generation of study materials and immediate feedback through quizzes to optimize learning outcomes.","GCE, Vertexai",SoftwareTribe.dev,Uganda,0
Tandika,https://www.youtube.com/watch?v=NwOr2j5r6VQ,"The application uses Google Gemini to analyze startup pitch decks, generate custom website content, and provide AI-driven customization through a chat feature.",Firebase,Tandika,Uganda,1
WellSense,https://www.youtube.com/watch?v=2Cdd65fH0CA,"The application provides a health and wellness assistant that uses AI-powered technology to offer preliminary diagnoses, first aid guidance, and personalized consultations through a conversational interface.","Flutter, Firebase",EDRINE MUTEBI,Uganda,0
Xule,https://www.youtube.com/watch?v=M_ZTRB9DJgA,"The application is a learning assistant that helps kids and youth learn from home, providing features such as chat, assignments, reading, writing, drawing, and listening to stories. It uses technology to facilitate learning and provide interactive tools for students to engage with educational content.",Android,Xule,Uganda,0
Zacc,https://www.youtube.com/watch?v=25W-G5PI7C8,"The application is a business canvas model that helps users create a business plan by breaking down the process into 9 building blocks, providing tools for learning and brainstorming aspects under each block.",Flutter,Zacc,Uganda,0
,https://www.youtube.com/watch?v=cJhNt-qnKuA,"The application provides three key features: checking and generating unique business names, evaluating innovative ideas for uniqueness, and delivering intellectual property news to users. It utilizes advanced data processing capabilities from the Gemini API to ensure accurate and efficient functionality.","Flutter, Android, Firebase",Empacode Africa,Uganda,1
Ai Recipe Creator,https://www.youtube.com/watch?v=qJ_rEEU-TaE,"The application uses a Gemini API to recognize ingredients in images, providing users with recipes based on their ingredients.",,Sint Lwin Htoo,UK,1
AlphaFit,https://www.youtube.com/watch?v=v5gi6MQeda8,"The application uses Gemini API to create personalized workout programs, adjust difficulty levels, provide on-demand support, and analyze user form in real-time. It also incorporates natural language processing for mental-agility word games and a motivation loop to enhance user engagement and motivation.","Flutter, Android, Firebase, HealthConnect",,UK,1
askNicole,https://www.youtube.com/watch?v=Pu465fZV2Aw,"The application provides comprehensive information, connects users with tele-doctors, offers emotional support, and tracks pregnancy milestones to promote healthy habits tailored to individual needs. It also addresses common issues such as stress and anxiety during pregnancy and childbirth, offering personalized guidance throughout these life stages.","Android, Firebase","Samantha Antoine, Theodore Annan, Jefferey Afriyie Frimpong, Nana Damoah, Isaac Amoah Quansah, Chloe Jean",UK,0
Biocryptricks,https://www.youtube.com/watch?v=bShdkl_Fkng,"The application empowers users to build a personal health care database, leveraging Google's Gemini API for personalized insights and matching with tailored services/products. It also generates health metrics and wellness challenges through an LLM (Large Language Model) and Dialogflow integration.","Firebase, Agent Builder and Dialogflow",Team Crypticks,UK,1
BMI Gemini,https://www.youtube.com/watch?v=E0ut3PK5b_o,"The application provides a way to calculate and monitor Body Mass Index (BMI) using user inputs, offering personalized recommendations and predictive analytics to help users achieve optimal health results.","Flutter, Web/Chrome, Firebase",Team Natelycon,UK,0
Board Law,https://www.youtube.com/watch?v=nj_W6cCaZhQ,"The application enhances board gaming experience by providing quick answers to rule questions, identifying games, and ensuring accuracy in game information through AI-powered technology.","Android, MLKit, VertexAI",,UK,0
Bright,https://www.youtube.com/watch?v=rCeoYNqVh5s,"The application connects tattoo artists with clients by showcasing their work, allowing users to discover tattoos they like through AI-generated summaries and filtering capabilities.","Flutter, Android, Firebase",Bright,UK,0
CCTV Logger,https://www.youtube.com/watch?v=ru9QMKSk-ag,"The application connects to a camera in your home, providing a summary of main events such as people, cars, animals passing by, and time of day, along with sunlight.",Web/Chrome,Molecular Scientists,UK,0
Chef AI,https://www.youtube.com/watch?v=Sadui4M9GfU,"The application generates unique recipes based on user-provided ingredients, prioritizing items that are close to expiration and have been in the fridge for a while. It uses a SQLite database to store user input and makes API requests to the Gemini API to generate recipes.","Flutter, Android",Michael Parker,UK,1
Chronofolio,https://www.youtube.com/watch?v=n_EpyyZfEvw,"The application helps collectors manage their watch portfolio by allowing users to upload images, get price estimates through AI, and interact with a chatbot that provides detailed answers about watches or the market.","Web/Chrome, Collab for training Ai Models with GPU access",AdeyStudios,UK,0
cleardoc.,https://www.youtube.com/watch?v=hgfcs6KW1_E,"The application uses AI-powered natural language processing to break down complex medical jargon into plain language, providing clear explanations for users to understand their medical documents.","Web/Chrome, Google OAuth",,UK,0
Cloudiff AI,https://www.youtube.com/watch?v=ohjbTeS-0KY,"The application is a platform that enables fast informed decisions by providing real-time information about hybrid cloud platforms, allowing businesses to make critical decisions and run audits in real-time. It uses artificial intelligence (AI) and graph-based technology to abstract complex data models and provide insights without manual effort.","Flutter, Android, Web/Chrome, Firebase",Cloudiff AI,UK,0
Cognit,https://www.youtube.com/watch?v=qvPgVKOEy_8,"The application assesses a pilot's cognitive state before each flight, using a conversational AI-powered tool that evaluates five areas of behavior and generates a score to determine if the pilot is fit-to-fly.",Flutter,Cognit,UK,0
Compost Footprint,https://www.youtube.com/watch?v=xxnvTYudi08,"The application sends user-inputted items, processes context from a prompt to estimate carbon savings through composting, and provides users with personalized data on their environmental impact.","Flutter, Android, Web/Chrome, Firebase",Compost Footprint,UK,0
Content2Learn,https://www.youtube.com/watch?v=qGH0J2xzdTE,"The application transforms media into personalized, interactive learning experiences using Google's Gemini API, adapting content to individual styles and paces, and enabling AI-driven conversational learning through multimodal transformation and real-time updates.",Web/Chrome,Content2Learn,UK,1
DentalGLM,https://www.youtube.com/watch?v=xCC9tI-JYGk,"The application uses a Gemini API to generate realistic patient scenarios, allowing students to practice communication and decision-making skills in a safe environment before transitioning to real patients. The API provides constructive feedback on student interactions, enabling continuous refinement of their skills.",Web/Chrome,DentalGLM,UK,1
Eva Yoga App,https://www.youtube.com/watch?v=Yw68oyXcOFg,"The application uses real-time AI feedback to deliver personalized yoga sessions, analyzing user movements and providing instant corrections to ensure correct alignment and reduce injury risk.","Web/Chrome, Firebase",Eva Yoga,UK,0
Fairy Godmother,https://www.youtube.com/watch?v=2Dtwx8eQUVA,"The application is a personal image consultant and stylist that aims to help users find a more comfortable and convenient way to manage their fashion choices, while also reducing waste and environmental harm. It provides a platform for users to describe their needs and preferences, and offers features such as styling recommendations and product suggestions.","Flutter, Android, Web/Chrome, Firebase",Iffy,UK,0
Famihive,https://www.youtube.com/watch?v=icQZtW_m_7k,"The application helps families create and complete house tasks with a due date, earning reward gems for completion. It uses AI-generated task descriptions to make the process easier and tracks user performance through a leaderboard.","Flutter, Firebase",Sheekore,UK,0
FinaBoard,https://www.youtube.com/watch?v=WEVroc5P8t8,"The application provides a personalized financial dashboard that automatically categorizes and analyzes transactions, allowing users to track their spending and gain insights into their financial data.",Web/Chrome,Geminice,UK,0
FlowLink,https://www.youtube.com/watch?v=KG3h1HQnBGU,"The application enhances productivity by automating tasks and event planning using APIs from Gemini, Google Tasks, and Google Calendar. It classifies content as either an event to be planned or a task to be completed, allowing users to streamline their busy lifestyles.","Flutter, Google Tasks, Google Calendar",Viacheslav Horbanov,UK,1
Gemini Forensic Tool,https://www.youtube.com/watch?v=ssRyNx4w7K8,"The application is a tool developed in Python that assists forensic doctors with their work, enabling them to evaluate medical findings and provide expert testimony in legal investigations.",,Juan Salvador Huertas Romero,UK,0
Gemini Humanoid Robot,https://www.youtube.com/watch?v=vYEGktKMsrE,"The application integrates various components to enable a seamless conversation between a robot and human users, utilizing AI-powered chatbots and speech recognition technologies.",Humanoid robot,,UK,0
Gemini Interview Mentor,https://www.youtube.com/watch?v=m9LjQZEc9vk,"The application provides personalized mock interviews and real-time feedback through an AI-powered platform that utilizes the Gemini API to generate questions, suggest answers, analyze responses, and offer constructive criticism.","Android, Firebase",Jonathon Axford,UK,1
Gemini-powered Workout Tracking App,https://www.youtube.com/watch?v=-pGEA5CblXU,"The application allows users to record workout routines, track completion, and edit them. It also uses an alternative approach called Gemini, which generates customized workout routines based on user history and preferences.","Android, Imagen 2",Thorin,UK,1
HealthCompose,https://www.youtube.com/watch?v=jBE4Lx2sLm4,"The application is a personal health assistant that allows users to set goals, track tasks, and visualize health data in one place. It also utilizes the Gemini API for intelligent and informative responses.","Flutter, Firebase, Kotlin Multiplatform",HealthBuddy,UK,1
InVision,https://www.youtube.com/watch?v=ZfETT-D4Fpc,"The application is a career feedback tool that uses AI to enhance job preparation, providing user recommendations and feedback through various features such as quick analysis, simulated mock interviews, and avatar interactions with Google's Text-to-Speech technology.","Flutter, Web/Chrome, Firebase, Python, Flask",Wassim Jabrane | InVision,UK,0
IslamChat,https://www.youtube.com/watch?v=_0iAwApeEwI,"The AI application uses a dataset of 145k Islamic jurisprudence questions answered by human scholars to provide responses, including translating questions into Arabic and condensing chat history into standalone questions.","Web/Chrome, Google Cloud Platform",deen.ai,UK,0
JobNotes,https://www.youtube.com/watch?v=ZaPls1DuXaw,"The application automates the job search process by using Google Gemini's AI capabilities to analyze resumes, match them with relevant job opportunities, and generate customized resumes for each application.","Web/Chrome, Firebase","Peter Olaleru, Agun Adesola",UK,1
KIDDIEBOX,https://www.youtube.com/watch?v=HO8081dQvq8,"The application allows childcare providers to record activities, share calendar events with parents, and receive personalized recommendations through a user-friendly interface powered by AI technology.","Android, Firebase",Emily,UK,0
Kora,https://www.youtube.com/watch?v=DO4FH8FmpAM,"The application is a wrapper that integrates Gemini AI command for direct use from terminal, providing features such as chat, prompts, inference, and command completion with an interactive interface.",,ddos,UK,1
Kosmos,https://www.youtube.com/watch?v=a98ePlYomUs,"The application is a creative astrology app that uses Gemini, a unique approach to provide poetic haikus, symbolic titles, and insightful interpretations for astrological readings and aspects. The app aims to enhance user experience through animated visualizations and expert advice from Gemini's context window.","Flutter, Android, Web/Chrome, Firebase",Jimmy / Rocketware,UK,1
Learnaura,https://www.youtube.com/watch?v=s-dyexKSw84,"The platform uses the Gemini API to generate structured lessons, allowing users to create tailored learning experiences with high-quality content.",,Tomi's Team,UK,1
Lexal AI - Chrome Extension,https://www.youtube.com/watch?v=ig9BisRMde8,"The application enhances online browsing experience with tools for fact-checking, bias detection, summarization, and debate initiation using advanced Gemini LLM models.",Web/Chrome,James Stalley-Moores,UK,1
Lexiverse,https://www.youtube.com/watch?v=A4gSG5gKSac,"The application transforms photos into immersive language lessons using AI technology, extracting vocabulary, generating descriptions, and creating conversation starters with grammar and cultural insights.",Flutter,,UK,0
Liars.AI,https://www.youtube.com/watch?v=RQ2O5R5p7IU,"The application allows users to upload a video of someone talking, which is then analyzed by the Gemini multimodal API for body language and facial expressions. The app estimates whether or not the person in the video is lying based on these analyses.","Android, Web/Chrome, GCP Cloud functions, GCP Storage",Liars.AI,UK,1
litQuery,https://www.youtube.com/watch?v=YGktDdldZoQ,"The application uses advanced language model technology to understand research questions, provide comprehensive answers backed by scientific literature, and offer relevant responses.",Web/Chrome,Sithan Kanna,UK,0
Mendself,https://www.youtube.com/watch?v=5wHsj9PwGQ8,"The application is an AI-powered tool designed to support mental well-being, providing a platform for users to access and utilize advanced mental health technology. Its core functionality focuses on processing user descriptions to offer personalized support and guidance.",,,UK,0
MenYou,https://www.youtube.com/watch?v=eOVe7t-xohY,"The application uses AI to extract information from restaurant menus, providing users with potential allergens and additional information about menu items.","Flutter, Firebase",Doug Todd,UK,0
Moospire,https://www.youtube.com/watch?v=MHHWAHAJpoI,"The application uses AI to streamline creative processes by generating moodboards from user input, such as sketches, images, and voice notes, and providing design insights for web and software applications like Figma.",Web/Chrome,"Michael Ajala, Nafiu Sofiat",UK,0
myLoop,https://www.youtube.com/watch?v=kUNmrGreGNk,"The application utilizes the Gemini API to provide dynamic content generation, enhancing document management and real-time collaboration through AI-driven insights and tools.","Web/Chrome, Firebase",myLoop,UK,1
No More Jockeys: Training Game,https://www.youtube.com/watch?v=awbAX3uTXM8,"The application uses artificial intelligence to generate a game where players take turns naming famous people and categories, with the goal of outmaneuvering their opponent by correctly challenging them when they fall into forbidden categories.",Android,Joel Bearn,UK,0
Praison AI Code,https://www.youtube.com/watch?v=_5jQayO-MQY,"The application enables developers to interact with their entire codebase using up to 2 million tokens of context, leveraging the Gemini API for advanced natural language processing capabilities and providing insights, debugging assistance, and code optimization suggestions.",Web/Chrome,Mervin Praison,UK,1
Problem Perception,https://www.youtube.com/watch?v=Vgb4Cyssps4,"The application searches the internet for user comments, threads, and posts about a specific niche to generate data. It then uses machine learning to analyze this data, uncover customer pain points, and suggest solutions with scores based on their effectiveness.","Flutter, Web/Chrome, Firebase",Problem Perception,UK,0
Processly,https://www.youtube.com/watch?v=gqIzFRG-erA,"The application is a business management solution that enables small businesses to streamline their processes, reduce costs, and gain insights into their performance using a single platform with minimal investment in time and capital. It leverages Gemini API technology for effortless data analytics, streamlined onboarding, and seamless growth.",Angular,Naol M. Basaye,UK,1
Project Stargate,https://www.youtube.com/watch?v=9x7_PHop30o,"The application utilizes AI models, specifically Gemini and Imagen 2, to simulate a remote viewing session and generate live models of potential targets based on user sketches.","Web/Chrome, Firebase",,UK,1
Reers AI Podcast Platform,https://www.youtube.com/watch?v=uPvXE46SlRk,"The application generates custom podcasts using AI technology, transforming text prompts into engaging conversations with Google's Gemini API, and delivering high-quality audio content via voice synthesis and processing.",Google Text-to-Speech,Reers Technologies (Blessing Adesiji),UK,1
Rewardrobe,https://www.youtube.com/watch?v=x9uyx_xN59E,"The application uses AI-powered Gemini to help users get the most joy from their existing clothes by providing smart recommendations, style inspiration, and care guidance through a mobile app.","Flutter, Android, Firebase",,UK,1
Scryptify,https://www.youtube.com/watch?v=SJ4wHKsoUdA,"The application streamlines video content management by processing uploaded videos quickly, organizing them into collections, and providing comprehensive transcriptions. It also integrates with Google Gemini for advanced AI-powered features such as interactive questions, summaries, quizzes, and blog posts.",,Scryptify,UK,1
Seeker,https://www.youtube.com/watch?v=oI18-jU06p8,"The application generates highly tailored CVs using Gemini AI's power to analyze user profiles and job descriptions, selecting relevant experiences to craft a compelling document.",,Seeker,UK,1
Shopping list helper,https://www.youtube.com/watch?v=90F5putvKJw,"The application provides tips and tricks to help users find high-quality goods while shopping, utilizing a pre-loaded prompt for assistance.",Web/Chrome,elipticalcurves,UK,0
Show Me History,https://www.youtube.com/watch?v=yxYkvt-QxVM,"The application provides instant information about landmarks and buildings by using image recognition technology, allowing users to take a photo of a landmark and receive detailed historical context and interesting facts.",,Simas Janusas,UK,0
Slovo AI,https://www.youtube.com/watch?v=Bwb1DTk4FPI,"The application uses a conversational AI powered by the Gemini API to provide an interactive English learning experience, offering two correct and one incorrect response options for users to practice grammar and improve their language skills.",,,UK,1
Smart PArent,https://www.youtube.com/watch?v=t9m1QM9SmSw,"The application extracts and organizes event information from various sources, using AI-powered natural language processing to identify key details and add events to a user's calendar.","Firebase, Cloud SQL, Cloud Run, Compute Engine VM",Cloudstroid,UK,0
Starmoon,https://www.youtube.com/watch?v=vaBAC96-mvI,"The application creates voice-enabled, empathic companions for children in pediatric care, allowing caregivers to customize characters with personalized personalities and track emotional growth via a web app using the Gemini API+Text-to-speech model.",Web/Chrome,Starmoon AI,UK,1
Study Buddy 2,https://www.youtube.com/watch?v=jL3gC56SLKI,"The application transforms study notes into interactive MCQs and essay questions for efficient learning by analyzing text using Gemini API, generating questions, practicing with user input, and providing accurate evaluation and feedback.",Flutter,BevyLabs,UK,1
StyleCoach,https://www.youtube.com/watch?v=2Y8TfoS8-0s,"The application evaluates text based on twelve style criteria, providing insights into tone, clarity, and structure to help users refine their writing.","Web/Chrome, Apps Script, Gemini API, Google Docs",Angel Javier Salazar,UK,0
TrainerPro,https://www.youtube.com/watch?v=2285UrR0V7Y,"The application is a data predictor that uses machine learning to make predictions based on uploaded data, choosing an appropriate regressor and training parameters for accurate results.","Flutter, Web/Chrome, Firebase",SNUGGIES,UK,0
Travel assistant AI,https://www.youtube.com/watch?v=I1jqStsRExU,"The application utilizes user reviews and flight information scraped from Expedia to provide users with best flight deals, focusing on core functionality of data analysis and recommendation.","Flutter, Web/Chrome",Yuwei-1,UK,0
TRIPVIZOR AI,https://www.youtube.com/watch?v=3glLWfT6mHs,"The application streamlines travel planning by integrating the Gemini API, providing personalized itineraries, visa guidance, and local food recommendations through natural language processing, knowledge base access, and real-time updates.",Web/Chrome,TripVizior,UK,1
Umami,https://www.youtube.com/watch?v=MbIEwM4J_u0,"The application is a recipe video transformation tool that uses advanced AI to extract full recipes, provide ingredients and instructions, and offer customization options with allergen warnings and nutritional data.","Android, Web/Chrome",Tyrell James,UK,0
Umbra,https://www.youtube.com/watch?v=cM4MuLyvaAE,"The application uses Gemini Nano to redact Personally Identifiable Information (PII) from text, allowing for local storage and cloud-based generative tasks. It has a potential use case where it assists in medical treatment by anonymizing patient information and generating personalized stories or letters for patients and their families.",Web/Chrome,Umbra,UK,1
